"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK__61_Arduino_31_COMPLETE_work.nlogo"
"experiment_centroid_links_mutated"
"07/04/2022 22:22:54:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","mean [ state ] of turtles with [ breed = clients ]","mean [ state ] of turtles with [ breed = service-providers ]","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y","count links"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","9","3.473684210526316","3.5","0.11458333333333333","false","0.3672661338232706","1.4","0.051723116433427044","-0.0945062121970985","36"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","9","2.5","4","0.11875","false","0.4629414682539682","0.32499999999999996","-0.9724030770629459","-0.7730475963261252","37"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","9","3.1973684210526314","4","0.11041666666666665","false","0.4368167237571473","2.6875000000000004","-0.8794441642469677","-0.4360998419315633","49"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","9","2.1470588235294117","2.25","0.08541666666666667","false","0.4848000957375958","0.8625","1.3535049914309674","-0.5447888707055715","40"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","9","1.9473684210526316","3","0.15624999999999997","false","0.47519387055125595","1.225","-0.1614853386668266","-1.802721886992116","44"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","10","2.514705882352941","3.4166666666666665","0.05125","false","0.3845267636202233","1.425","0.020898391729878084","-0.3905970663174455","34"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","10","3","3","0.19416666666666668","false","0.4190422666968299","2.4375","-0.696947834959087","-0.4089444271754738","49"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","10","3.0694444444444446","3.375","0.06458333333333333","false","0.31668765262515264","0.45","1.2313083519654828","-0.27389264226959065","30"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","10","3.0441176470588234","3","0.08333333333333334","false","0.40312003968253973","0.4875","-0.03475612646548247","-0.2963465274575873","33"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","10","2.3194444444444446","1.75","0.0375","false","0.40144723635387863","2.5","0.2059702996736144","0.22385062864815","40"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","10","2.361111111111111","2.75","0.2548511904761905","false","0.42329370948185563","1.8875","-0.04614857251559264","0.6713156297022838","57"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","10","2.9027777777777777","2.75","0.09166666666666667","false","0.41450980392156866","0.9875","0.7966023300361604","-0.2577841338049378","36"
