"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","7","2.3947368421052633","1","0.06458333333333334","false","0.4060763888888889","0.2875","-0.3158331249180083","-0.9908750141097873"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","7","1.9473684210526316","1.5","0.15833333333333333","false","0.5408928571428571","0.1375","0.4669983153736631","1.0659314203985513"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","7","1.986842105263158","7.75","0.20625","false","0.3890699404761905","0.675","-0.9259048332870204","0.5583788549224723"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","7","2.2205882352941178","2.25","0.05333333333333333","false","0.3762603715728717","0.4","1.9581082624497257","0.1895610578573131"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","7","2.3289473684210527","2","0.11958333333333335","false","0.32880287513627093","2.5625","2.0169252275548932","-2.2785686034813066"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","7","1.7647058823529411","3","0.15791666666666665","false","0.40098039215686276","0.375","0.5293156663993516","-1.4828892608819781"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","7","1.644736842105263","4.75","0.075","false","0.3743917112299465","0.425","-2.0146369434942053","-0.07528396163359245"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","7","1.5147058823529411","5.083333333333333","0.16958333333333336","false","0.3348511904761905","0.125","-0.9442770061373853","2.092851686956127"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","7","1.6710526315789473","9.5","0.11916666666666667","false","0.4020039682539684","0.2375","-0.5942922450009556","0.7399996971540317"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","7","2","6.25","0.13125","false","0.36306051587301597","0.3625","-0.4701010992776176","0.41297671993899215"
